Day of Created At,Id,Type,Teams Count
"11 February, 2017",219,student,0
"11 February, 2017",220,student,0
"11 February, 2017",221,student,0
"11 February, 2017",222,student,0
"11 February, 2017",223,student,0
"11 February, 2017",224,student,0
"11 February, 2017",225,student,0
"11 February, 2017",226,student,0
"11 February, 2017",227,student,0
"11 February, 2017",228,student,0
"11 February, 2017",229,student,0
"11 February, 2017",230,student,0
"11 February, 2017",231,student,0
"11 February, 2017",232,student,0
"11 February, 2017",233,student,0
"11 February, 2017",234,student,0
"11 February, 2017",235,student,0
"11 February, 2017",236,student,0
"11 February, 2017",237,student,0
"11 February, 2017",238,student,0
"11 February, 2017",239,student,0
"11 February, 2017",240,student,1
"11 February, 2017",241,student,0
"11 February, 2017",242,student,0
"11 February, 2017",243,student,0
"11 February, 2017",244,student,0
"11 February, 2017",245,student,1
"11 February, 2017",246,student,0
"11 February, 2017",247,student,0
"11 February, 2017",248,student,0
"11 February, 2017",249,student,0
"11 February, 2017",250,student,0
"11 February, 2017",251,student,0
"11 February, 2017",252,student,0
"11 February, 2017",253,student,0
"11 February, 2017",254,student,0
"11 February, 2017",255,student,0
"11 February, 2017",256,student,0
"11 February, 2017",257,student,0
"11 February, 2017",258,student,0
"11 February, 2017",259,student,0
"11 February, 2017",260,student,0
"11 February, 2017",261,student,0
"11 February, 2017",262,student,0
"11 February, 2017",263,student,0
"11 February, 2017",264,student,0
"11 February, 2017",265,student,0
"11 February, 2017",266,student,1
"11 February, 2017",267,student,0
"11 February, 2017",268,student,0
"11 February, 2017",269,student,0
"11 February, 2017",270,student,0
"11 February, 2017",271,student,0
"11 February, 2017",272,student,3
"11 February, 2017",273,student,0
"11 February, 2017",274,student,0
"11 February, 2017",275,student,0
"11 February, 2017",276,student,0
"11 February, 2017",277,student,0
"11 February, 2017",278,student,0
"11 February, 2017",279,student,0
"11 February, 2017",280,student,0
"11 February, 2017",281,student,0
"11 February, 2017",282,student,0
"11 February, 2017",283,student,0
"11 February, 2017",284,student,0
"11 February, 2017",285,student,0
"11 February, 2017",286,student,0
"11 February, 2017",287,student,0
"11 February, 2017",288,student,0
"11 February, 2017",289,student,0
"11 February, 2017",290,student,0
"11 February, 2017",292,student,0
"11 February, 2017",293,student,0
"11 February, 2017",294,student,0
"11 February, 2017",295,student,0
"11 February, 2017",296,student,0
"11 February, 2017",297,student,0
"11 February, 2017",298,student,0
"11 February, 2017",299,student,0
"11 February, 2017",301,student,0
"11 February, 2017",302,student,0
"11 February, 2017",303,student,0
"11 February, 2017",304,student,0
"11 February, 2017",305,student,9
"11 February, 2017",306,student,1
"11 February, 2017",307,student,0
"11 February, 2017",308,student,0
"11 February, 2017",309,student,0
"11 February, 2017",310,student,0
"11 February, 2017",311,student,1
"11 February, 2017",312,student,0
"11 February, 2017",313,student,1
"11 February, 2017",314,student,0
"11 February, 2017",315,student,0
"11 February, 2017",316,student,0
"11 February, 2017",317,student,0
"11 February, 2017",318,student,0
"11 February, 2017",319,student,0
"11 February, 2017",320,student,0
"11 February, 2017",321,student,0
"11 February, 2017",322,student,0
"11 February, 2017",323,student,0
"11 February, 2017",324,student,2
"11 February, 2017",325,student,0
"11 February, 2017",327,student,0
"11 February, 2017",329,student,0
"11 February, 2017",330,student,0
"11 February, 2017",331,student,0
"11 February, 2017",332,student,0
"11 February, 2017",333,student,0
"11 February, 2017",334,student,0
"11 February, 2017",335,student,0
"11 February, 2017",336,student,0
"11 February, 2017",337,student,0
"11 February, 2017",339,student,0
"11 February, 2017",340,student,0
"11 February, 2017",341,student,0
"11 February, 2017",342,student,0
"11 February, 2017",343,student,0
"11 February, 2017",344,student,0
"11 February, 2017",345,student,0
"11 February, 2017",346,student,0
"11 February, 2017",348,student,0
"11 February, 2017",349,student,0
"11 February, 2017",351,student,0
"11 February, 2017",352,student,0
"11 February, 2017",353,student,0
"11 February, 2017",354,student,0
"11 February, 2017",355,student,0
"11 February, 2017",356,student,0
"11 February, 2017",357,student,0
"11 February, 2017",358,student,0
"11 February, 2017",359,student,0
"11 February, 2017",360,student,0
"11 February, 2017",361,student,0
"11 February, 2017",362,student,0
"11 February, 2017",363,student,0
"11 February, 2017",364,student,0
"11 February, 2017",365,student,0
"11 February, 2017",366,student,0
"11 February, 2017",367,student,0
"11 February, 2017",368,student,0
"11 February, 2017",369,student,0
"11 February, 2017",370,student,0
"11 February, 2017",371,student,0
"11 February, 2017",372,student,0
"11 February, 2017",373,student,0
"11 February, 2017",374,student,0
"11 February, 2017",375,student,0
"11 February, 2017",376,student,0
"11 February, 2017",377,student,0
"11 February, 2017",378,student,0
"11 February, 2017",379,student,0
"11 February, 2017",380,student,0
"11 February, 2017",381,student,0
"11 February, 2017",382,student,0
"11 February, 2017",383,student,0
"11 February, 2017",384,student,0
"11 February, 2017",385,student,0
"11 February, 2017",386,student,0
"11 February, 2017",387,student,0
"11 February, 2017",388,student,0
"11 February, 2017",389,student,0
"11 February, 2017",390,student,0
"11 February, 2017",391,student,0
"11 February, 2017",392,student,0
"11 February, 2017",393,student,0
"11 February, 2017",394,student,0
"11 February, 2017",395,student,0
"11 February, 2017",396,student,0
"11 February, 2017",397,student,0
"11 February, 2017",398,student,0
"11 February, 2017",399,student,0
"11 February, 2017",400,student,0
"11 February, 2017",401,student,0
"11 February, 2017",402,student,0
"11 February, 2017",403,student,0
"11 February, 2017",404,student,0
"11 February, 2017",405,student,0
"11 February, 2017",406,student,0
"11 February, 2017",407,student,0
"11 February, 2017",408,student,0
"11 February, 2017",409,student,0
"11 February, 2017",410,student,0
"11 February, 2017",411,student,0
"11 February, 2017",412,student,0
"11 February, 2017",413,student,0
"11 February, 2017",414,student,0
"11 February, 2017",415,student,0
"11 February, 2017",416,student,0
"11 February, 2017",417,student,0
"11 February, 2017",418,student,0
"11 February, 2017",419,student,0
"11 February, 2017",420,student,0
"11 February, 2017",421,student,0
"11 February, 2017",422,student,0
"11 February, 2017",423,student,0
"11 February, 2017",424,student,0
"11 February, 2017",425,student,0
"11 February, 2017",426,student,0
"11 February, 2017",427,student,0
"11 February, 2017",428,student,0
"11 February, 2017",429,student,0
"11 February, 2017",430,student,0
"11 February, 2017",431,student,0
"11 February, 2017",432,student,0
"11 February, 2017",433,student,0
"11 February, 2017",434,student,0
"11 February, 2017",435,student,0
"11 February, 2017",436,student,2
"11 February, 2017",437,student,0
"11 February, 2017",438,student,0
"11 February, 2017",439,student,0
"11 February, 2017",440,student,0
"11 February, 2017",441,student,0
